case,campaign,kr,xe,kr-xe
LR1,INTER-RAMP,4.6,4.8,
LS2,INTER-RAMP,4.7,5,
TR1,INTER-RAMP,1.7,1.6,
LS3,INTER-RAMP,2.3,2.2,
DR1,INTER-RAMP,5.5,5.8,
HR2,INTER-RAMP,3.4,3.7,
HR4,INTER-RAMP,9.6,10.4,
HR5,INTER-RAMP,13.9,16,
HS1,INTER-RAMP,6.2,6.6,
HS2,INTER-RAMP,3.4,3.5,
BR1,INTER-RAMP,24.2,29.6,
PK1-1,SUPER-RAMP,,,8.5
PK1-2,SUPER-RAMP,,,13.6
PK1-3,SUPER-RAMP,,,22.1
PK1-4,SUPER-RAMP,,,13
PK2-1,SUPER-RAMP,,,28
PK2-2,SUPER-RAMP,,,32.1
PK2-3,SUPER-RAMP,,,44.9
PK2-4,SUPER-RAMP,,,9.5
PK2-5,SUPER-RAMP,,,10.4
PK4-1,SUPER-RAMP,,,10.8
PK4-2,SUPER-RAMP,,,16.2
PK4-3,SUPER-RAMP,,,29
PK4-5,SUPER-RAMP,,,28.4
PK6-3,SUPER-RAMP,,,3.5
PK6-4,SUPER-RAMP,,,6.7
PK6-5,SUPER-RAMP,,,6.1
PW3-2,SUPER-RAMP,2.5,1.8,
PW3-3,SUPER-RAMP,2.2,1.5,
BK7-3,SUPER-RAMP,,,1.6
BK7-4,SUPER-RAMP,,,0.8
BK7-5,SUPER-RAMP,,,5.2
BK7-6,SUPER-RAMP,,,7
BG8-2,SUPER-RAMP,2.4,2.4,
BG8-4,SUPER-RAMP,2.6,1.8,
BG9-1,SUPER-RAMP,3.8,3.6,
A10-1,OVER-RAMP,,,19.6
A10-3,OVER-RAMP,,,13
A10-4,OVER-RAMP,,,22.8
A20-1,OVER-RAMP,,,17.3
A20-3,OVER-RAMP,,,25.3
A20-4,OVER-RAMP,,,26.5
G20-1,OVER-RAMP,,,1.8
G20-2,OVER-RAMP,,,2.9
G20-4,OVER-RAMP,,,0.9